place_name,place_category_id,whether_calculated,is_people,is_securities_trading,is_financial_applications_used
지에스25S4  ,9,1,0,0,0
지에스25갈,9,1,0,0,0
지에스25광,9,1,0,0,0
지에스25논,9,1,0,0,0
지에스25뉴,9,1,0,0,0
지에스25뉴호계융창,9,1,0,0,0
지에스25범,9,1,0,0,0
지에스25부,9,1,0,0,0
지에스25안,9,1,0,0,0
지에스25양,9,1,0,0,0
지에스25을,9,1,0,0,0
지에스25의,9,1,0,0,0
지에스25제,9,1,0,0,0
지에스25평,9,1,0,0,0
지에스25평촌두산점,9,1,0,0,0
지에스25평촌보영점,9,1,0,0,0
지에스25평촌신동아,9,1,0,0,0
지에스25한,9,1,0,0,0
지에스25호,9,1,0,0,0
지에스25호계체육관,9,1,0,0,0
지에스25호계현대점,9,1,0,0,0
지지고,9,1,0,0,0
천지유황탕,9,1,0,0,0
철구PC군포,9,1,0,0,0
청산,9,1,0,0,0
체크취소,9,0,0,0,0
초심스터디카,9,1,0,0,0
초월스터디카,9,1,0,0,0
촌놈집삼덕공,9,1,0,0,0
최네집,9,1,0,0,0
최네집부대찌,9,1,0,0,0
최네집부대찌개,9,1,0,0,0
충남사(자 ,9,1,0,0,0
충무김밥,9,1,0,0,0
충무로점컴포,9,1,0,0,0
치어스호계2 ,9,1,0,0,0
카쯔야범계점,9,1,0,0,0
카카오_카 ,9,0,0,0,1
카카오_카카오페이,9,0,0,0,1
카카오_택 ,9,0,0,0,1
카카오(기 ,9,0,0,0,1
카카오MY구,9,0,0,0,1
카카오T_바,9,0,0,0,1
카카오T일 ,9,0,0,0,1
카카오T택 ,9,0,0,0,1
카카오개인택,9,0,0,0,1
카카오법인택,9,0,0,0,1
카카오선물하,9,0,0,0,1
카카오택시선,9,0,0,0,1
카카오페이,9,0,0,0,1
카카오페이_N,9,0,0,0,1
카카오페이_NICE,9,0,0,0,1
카카오페이( ,9,0,0,0,1
카페게이트평,9,1,0,0,0
카페게이트평촌학원,9,1,0,0,0
카페봄봄안양,9,1,0,0,0
카페비스포크,9,1,0,0,0
카페비스포크(CAFEB,9,1,0,0,0
카페지니호계,9,1,0,0,0
카페지니호계점,9,1,0,0,0
카페초이스,9,1,0,0,0
카페하루,9,1,0,0,0
캔버스태암주,9,0,0,0,0
캠퍼스라운지,9,1,0,0,0
커틸다헤어살,9,1,0,0,0
커피마르소,9,1,0,0,0
커피베이안양,9,1,0,0,0
커피온팔공티,9,1,0,0,0
컴포즈커피동,9,1,0,0,0
컴포즈커피평,9,1,0,0,0
컴포즈커피평촌트리,9,1,0,0,0
케이투(K2)  ,9,0,0,0,0
코레일유통( ,9,0,0,1,0
코레일유통주,9,0,0,1,0
코밴_키오 ,9,1,0,0,0
코밴_키오스크_1,9,1,0,0,0
코밴(오프라인)_1,9,1,0,0,0
쿠팡(와우 ,9,0,0,0,0
쿠팡(쿠페 ,9,0,0,0,0
퀸즈블랙건대,9,1,0,0,0
크라우드PC  ,9,1,0,0,0
크리드PC호,9,1,0,0,0
크린토피아안,9,1,0,0,0
큰삼촌용돈,9,0,0,0,0
클로봇,9,0,0,1,0
키오스크_KIC,9,0,0,0,0
키움이건민,9,0,1,1,0
키움해외이벤,9,0,0,1,0
타임유스터디,9,1,0,0,0
태기산더덕순,9,1,0,0,0
토니치킨,9,1,0,0,0
토스_신재 ,9,0,0,0,1
토스_이건 ,9,0,0,0,1
토스_이승 ,9,0,0,0,1
토스_이지 ,9,0,0,0,1
토스_정민 ,9,0,0,0,1
토스_조영 ,9,0,0,0,1
토스_한건 ,9,0,0,0,1
토스PG한국,9,0,0,0,1
토스강영구,9,0,1,0,1
토스강원석,9,0,1,0,1
토스공태현,9,0,1,0,1
토스권기완,9,0,1,0,1
토스김경민,9,0,1,0,1
토스김미옥,9,0,1,0,1
토스김어람,9,0,1,0,1
토스김영미,9,0,1,0,1
토스김원재,9,0,1,0,1
토스김종인,9,0,1,0,1
토스김하연,9,0,1,0,1
토스노동혁,9,0,1,0,1
토스동국대,9,0,1,0,1
토스박민성,9,0,1,0,1
토스배현민,9,0,1,0,1
토스서울세,9,0,1,0,1
토스송복현,9,0,1,0,1
토스신순옥,9,0,1,0,1
토스신재원,9,0,1,0,1
토스오상현,9,0,1,0,1
토스유정식,9,0,1,0,1
토스윤금한,9,0,1,0,1
토스이건민,9,0,1,0,1
토스이승빈,9,0,1,0,1
토스이승용,9,0,1,0,1
토스장승헌,9,0,1,0,1
토스정민준,9,0,1,0,1
토스조효준,9,0,1,0,1
토스최소이,9,0,1,0,1
토스최영범,9,0,1,0,1
토스트&커 ,9,1,0,0,0
토스페이,9,0,0,0,1
토스페이충,9,0,0,0,1
토스페이충전,9,0,0,0,1
토스홍지수,9,0,1,0,1
통닭원5900( ,9,1,0,0,0
통인커뮤니티,9,1,0,0,0
통통뼈감자탕,9,1,0,0,0
투썸플레이스,9,1,0,0,0
틈새라면평촌,9,1,0,0,0
티머니개인택,9,0,0,0,0
티머니법인택,9,0,0,0,0
파두매도,9,0,0,1,0
